,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Cleaned Data,cluster_tag
149,149,[1],0.1394,"walk, make, expect, night, leave, shop, beware, careful, service, line",Be careful with this hotel.,careful hotel,['quality']
150,150,[4],0.1394,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring","Whatever you do, don't stay at this hotel.",whatever stay hotel,['value']
151,151,[4],0.1587,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",Avoid this hotel!,avoid hotel,['value']
152,152,[1],0.1453,"walk, make, expect, night, leave, shop, beware, careful, service, line","So, we would recommend this property if you are happy with 3-star hotels or lower.",would recommend property happy star hotel low,['quality']
153,153,[2],0.1363,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",Absolutely don't stay at this hotel if you're driving.,absolutely stay hotel driving,['location']
154,154,[7],0.1564,"good, recommend, staff, price, place, city, nice, water, visit, side","Food in over cooked, at least the water in cafe was drinkable, and don't be fooled by there complimentary newspaper, if you read the sticker the put on it you will see that you will be charged for it to $$$$.",food cook least water cafe drinkable fool complimentary newspaper read sticker put see charge,['food']
155,155,[1],0.148,"walk, make, expect, night, leave, shop, beware, careful, service, line",and if you wanted to take a long stroll you could even walk to the tower.,wanted take long stroll could even walk tower,['quality']
156,156,[6],0.1453,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",Avoid the double decker Gray Line tour.,avoid double decker gray line tour,['service']
157,157,[4],0.1394,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",I would definitely recommend this hotel.,would definitely recommend hotel,['value']
158,158,[5],0.1671,"stay, resort, mind, suggest, money, car, front, star, noise, choice",If you are flying in I would suggest not renting a car as down Seattle can get crazy  parking is expensive.,fly would suggest rent car seattle get crazy parking expensive,['room']
159,159,[5],0.1494,"stay, resort, mind, suggest, money, car, front, star, noise, choice",Treadmills were in very bad need of repair.,treadmill bad need repair,['room']
160,160,[1],0.1394,"walk, make, expect, night, leave, shop, beware, careful, service, line",Would definitely recommend the hotel: we stayed a couple of nights at the W Seattle,would definitely recommend hotel stayed couple night seattle,['quality']
161,161,[0],0.1786,"room, floor, view, call, clean, internet, service, drink, high, deal",One thing: definitely try to get a high floored room away from the building works for the new skyscraper next floor.,one thing definitely try get high floor room away build work new skyscraper next floor,['facility']
162,162,[3],0.1697,"recommend, highly, place, day, find, location, rate, rent, drive, bring","For those who are taking a cruise out of Seattle , like us, plan an extra day or two prior to your leaving and stay at the Andra (about 3 minutes form the debarkation dock) to compliment your trip.",take cruise seattle like us plan extra day two prior leave stay andra minute form debarkation dock compliment trip,['staff']
163,163,[3],0.1522,"recommend, highly, place, day, find, location, rate, rent, drive, bring",Highly recommend it.,highly recommend,['staff']
164,164,[5],0.15,"stay, resort, mind, suggest, money, car, front, star, noise, choice",We had a very pleasant stay and I would highly recommend anyone to stay there.,pleasant stay would highly recommend anyone stay,['room']
165,165,[1],0.1453,"walk, make, expect, night, leave, shop, beware, careful, service, line","We will definately be returning, and recommending it to anyone we know is intending to visit Venice.",definately return recommend anyone know intend visit venice,['quality']
166,166,[3],0.1516,"recommend, highly, place, day, find, location, rate, rent, drive, bring","Almost forgot, it is even easier to find it when you arrive at Piazza Roma than the website says, and takes less than 10 minutes to walk even with a case.",almost forget even easy find arrive piazza rom website say take less 10 minute walk even case,['staff']
167,167,[3],0.1419,"recommend, highly, place, day, find, location, rate, rent, drive, bring",Ate dinner at Georgetown - highly recommended,ate dinner georgetown highly recommend,['staff']
168,168,[7],0.1455,"good, recommend, staff, price, place, city, nice, water, visit, side","If you dont mind a 20 minute train ride to get into the city, this is the place to stay in Amsterdam.",mind 20 minute train ride get city place stay amsterdam,['food']
169,169,[0],0.1343,"room, floor, view, call, clean, internet, service, drink, high, deal","Meaning, dont expect your family of four to be comfortable in one room.",mean expect family four comfortable one room,['facility']
170,170,[2],0.1696,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","Top tip for frequent visitors is the Okura Club International which you can join for nothing and entitles bearers to free usage of the pool, showers and o-furo ,bath, which you would normally have to pay for.",top tip frequent visitor okura club international join nothing entitle bearer free usage pool shower furo bath would normally pay,['location']
171,171,[4],0.1492,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring","If youre heading to Tokyo, whether its business or pleasure, I definitely recommend the Okura. 70s kitsch, crap Scottish bar - its all good.",head tokyo whether business pleasure definitely recommend okura 70 kitsch crap scottish bar good,['value']
172,172,[4],0.1486,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring","None of them appeared to be a concierge per se and noone offered to make us dinner reservations when asked about restaurants, so expect to take care of these details on your own.",none appear concierge per se noone offer make us dinner reservation ask restaurant expect take care detail,['value']
173,173,[4],0.1394,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",If you prefer large corporate-style hotels this may not be the place for you.,prefer large corporate style hotel may place,['value']
174,174,[5],0.1419,"stay, resort, mind, suggest, money, car, front, star, noise, choice","I would stay here again on points of for business, but if it was my own money I might look around before booking it.",would stay point business money might look around book,['room']
175,175,[4],0.1523,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring","We recommend visiting the excavation of the Aztec pyramids next to the national cathedral, about a five minute walk from the hotel.",recommend visit excavation aztec pyramid next national cathedral five minute walk hotel,['value']
176,176,[7],0.148,"good, recommend, staff, price, place, city, nice, water, visit, side","The driver can take you from place to place, for a reasonable price.",driver take place place reasonable price,['food']
177,177,[4],0.1318,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",This is much safer and far more convenient than hailing taxis from the street.,much safe far convenient hail taxis street,['value']
178,178,[6],0.1389,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",You can also use the MTR which is 4 mins from the hotel.,also use mtr minute hotel,['service']
179,179,[7],0.1703,"good, recommend, staff, price, place, city, nice, water, visit, side","You can also use the star ferry, pennies, on the Kowloon side which will drop you island side adjacent to harbour city mall which is a good spot to take the classic harbour panoramic photo.",also use star ferry penny kowloon side drop island side adjacent harbour city mall good spot take classic harbour panoramic photo,['food']
180,180,[4],0.1398,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring","It is in a great location for the Hollywood area, it is right next to a subway stop, but to get around in Los Angeles you will need a car.",great location hollywood area right next subway stop get around los angeles need car,['value']
181,181,[1],0.1557,"walk, make, expect, night, leave, shop, beware, careful, service, line","So, be sure to tell them in advance if noise bothers you.",sure tell advance noise bother,['quality']
182,182,[2],0.1389,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","I can recommend a Turkish restaurant in Wilton Road called Mezze ,but book in advance if you want to have dinner there as its quite busy,.",recommend turkish restaurant wilton road call mezze book advance want dinner quite busy,['location']
183,183,[0],0.1453,"room, floor, view, call, clean, internet, service, drink, high, deal","So if you are checking in and they allocate room 1238, make sure you have your own mirror.",check allocate room 1238 make sure mirror,['facility']
184,184,[0],0.1473,"room, floor, view, call, clean, internet, service, drink, high, deal",The University Inn is a very good deal that I would recommend to our friends.,university inn good deal would recommend friend,['facility']
185,185,[4],0.1536,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",Watch out where you park in Seattle.,watch park seattle,['value']
186,186,[5],0.1334,"stay, resort, mind, suggest, money, car, front, star, noise, choice",Stay elsewhere if at all possible.,stay elsewhere possible,['room']
187,187,[3],0.1612,"recommend, highly, place, day, find, location, rate, rent, drive, bring","Easy walk to the beach and the aquarium ,highly recommend.",easy walk beach aquarium highly recommend,['staff']
188,188,[4],0.1811,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",Bus #1 from the train station is most direct but #25 and #33 will get you there also.,bus train station direct 25 33 get also,['value']
189,189,[0],0.1447,"room, floor, view, call, clean, internet, service, drink, high, deal",I would recommend the place to anyone on a budget as you get a clean room for the money but I dont think Id stay here again.,would recommend place anyone budget get clean room money think would stay,['facility']
190,190,[6],0.1507,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",Be careful snorkeling at Red Beach.,careful snorkel red beach,['service']
191,191,[0],0.1748,"room, floor, view, call, clean, internet, service, drink, high, deal",I would not suggest doing this without fins unless you are VERY strong swimmer and even take caution with fins if you are a strong swimmer.,would suggest without fin unless strong swimmer even take caution fin strong swimmer,['facility']
192,192,[5],0.1662,"stay, resort, mind, suggest, money, car, front, star, noise, choice","Note that if you plan to rent a car, many rental places have minimum 3 day rentals during high season.",note plan rent car many rental place minimum day rental high season,['room']
193,193,[4],0.1581,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",If you get there in the morning you can easily have 300 yds of sand to yourself.,get morning easily 300 yds sand,['value']
194,194,[7],0.1368,"good, recommend, staff, price, place, city, nice, water, visit, side","And, if you are not wealthy, you should visit the cafe anyway.",wealthy visit cafe anyway,['food']
195,195,[2],0.1445,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",You can find specials and packages on their website..,find special package website,['location']
196,196,[0],0.1662,"room, floor, view, call, clean, internet, service, drink, high, deal","Yay After 2 hours of dealing with the floor manager, Matthew Sims,If you ever have to deal with this man, go above him.",yay hour deal floor manager matthew sims ever deal man go,['facility']
197,197,[6],0.1737,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade","The roof top pool, ok is on the small side but the beach is only 5 minutes walk away if you need more water",roof top pool ok small side beach minute walk away need water,['service']
198,198,[2],0.1518,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",If I was to give one tip then take a taxi from the airport - we got the train and then the metro but had to make few changes along the way.,give one tip take taxi airport get train metro make change along way,['location']
199,199,[1],0.1621,"walk, make, expect, night, leave, shop, beware, careful, service, line","Also, a warning, be careful of what you sign up for as wireless internet.",also warn careful sign wireless internet,['quality']
200,200,[7],0.1584,"good, recommend, staff, price, place, city, nice, water, visit, side","Remember to buy water from the supermarket near Madame Tussauds, much cheaper than anywhere else.",remember buy water supermarket near madame tussauds much cheap anywhere else,['food']
201,201,[0],0.1645,"room, floor, view, call, clean, internet, service, drink, high, deal","However if you are travelling with a laptop they provide free internet in the rooms ,decent speed ~2mbps, ask at reception for pass code.",however travel laptop provide free internet room decent speed 2 mbps ask reception pas code,['facility']
202,202,[3],0.1453,"recommend, highly, place, day, find, location, rate, rent, drive, bring",I would highly reccommend a hotel called The Phoenix over this place.,would highly reccommend hotel call phoenix place,['staff']
203,203,[2],0.1374,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",Be sure to get the larger room and have breakfast included as it is $25 if you pay.,sure get large room breakfast include 25 pay,['location']
204,204,[6],0.1422,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade","If you want to feel the city vibes and eat close by at more authentic restaurants, dont stay here.",want feel city vibes eat close authentic restaurant stay,['service']
205,205,[3],0.1548,"recommend, highly, place, day, find, location, rate, rent, drive, bring","If you want out of the hustle more modern surroundings, this is your place.",want hustle modern surroundings place,['staff']
206,206,[7],0.1492,"good, recommend, staff, price, place, city, nice, water, visit, side","Its a good 20 minute drive to the center of Scottsdale ,if youre looking to dine at one of the many fine dining spots in the Scottsdale area.",good 20 minute drive center scottsdale look dine one many fine din spots scottsdale area,['food']
207,207,[7],0.1507,"good, recommend, staff, price, place, city, nice, water, visit, side",Choose to go to the specialty resturants on other nights.,choose go specialty resturants night,['food']
208,208,[4],0.1403,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring","So, if you ever have a bad experience at this hotel and they promise you something, you better get it in writing because Joanna Turmo will not come to the phone.",ever bad experience hotel promise something well get write joanna turmo come phone,['value']
209,209,[7],0.1506,"good, recommend, staff, price, place, city, nice, water, visit, side","I would recommend this place, but arm yourself with good information from people who have stayed there before.",would recommend place arm good information people stay,['food']
210,210,[5],0.15,"stay, resort, mind, suggest, money, car, front, star, noise, choice","On your way in, grab one of the oodles of people checking out and get their advice.",way grab one oodles people check get advice,['room']
211,211,[4],0.1528,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",I think the pitfalls I discuss below could be avoided if you know what youre up against from the outset.,think pitfall discus could avoid know outset,['value']
212,212,[2],0.1537,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","No snorkeling right on the hotels beach ,too many waves and no reef,, so you have to book a separate excursion.",snorkel right hotel beach many wave reef book separate excursion,['location']
213,213,[6],0.219,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade","Tip: if you want a beach chair at the beach or pool, go there before 9am or so and put your magazine or towel on your chair.",tip want beach chair beach pool go 9 put magazine towel chair,['service']
214,214,[1],0.15,"walk, make, expect, night, leave, shop, beware, careful, service, line","The breakfast consisted of doughnuts and muffins, if you were quick enough.",breakfast consist doughnut muffin quick enough,['quality']
215,215,[5],0.1544,"stay, resort, mind, suggest, money, car, front, star, noise, choice",If you have a choice DONT STAY HERE.,choice stay,['room']
216,216,[1],0.1404,"walk, make, expect, night, leave, shop, beware, careful, service, line",Reception has safe deposit box if you need it.,reception safe deposit box need,['quality']
217,217,[1],0.1603,"walk, make, expect, night, leave, shop, beware, careful, service, line",Be careful not to wander into attic late at night though as carpet is very damp.,careful wander attic late night though carpet damp,['quality']
218,218,[1],0.1368,"walk, make, expect, night, leave, shop, beware, careful, service, line",All very good - only dont expect to be waited on .,good expect wait,['quality']
219,219,[4],0.1343,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",Cleanliness is not a priority in this area - so go with that in mind.,cleanliness priority area go mind,['value']
220,220,[4],0.1373,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",New Orleans is a must for every American.,new orleans must every american,['value']
221,221,[1],0.1394,"walk, make, expect, night, leave, shop, beware, careful, service, line",Make your reservations as soon as you get there.,make reservation soon get,['quality']
222,222,[2],0.1492,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",Make sure you bring plenty of sun tan lotion-very expensive in the gift shop.,make sure bring plenty sun tan lotion expensive gift shop,['location']
223,223,[3],0.1498,"recommend, highly, place, day, find, location, rate, rent, drive, bring","Also bring comfy shoes, ALOT of walking, take advantage of the golf carts to bring you to the other hotels at night.",also bring comfy shoe alot walk take advantage golf cart bring hotel night,['staff']
224,224,[0],0.1394,"room, floor, view, call, clean, internet, service, drink, high, deal",They will also drop you right off at your room if you ask.,also drop right room ask,['facility']
225,225,[6],0.1568,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",If you are traveling with younger kids you might want your rooms closer to the Dominica for the pool and beach activities.,travel young kid might want room close dominica pool beach activity,['service']
226,226,[4],0.1499,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring","Dont go crazy worrying about fancy evening wear, pack as little as possible and bring a clip for the hair.",go crazy worry fancy even wear pack little possible bring clip hair,['value']
227,227,[5],0.1403,"stay, resort, mind, suggest, money, car, front, star, noise, choice",Some suggestions for those going for a long weekend trip .... Book the Beantown Trolley Tour.,suggestion go long weekend trip book beantown trolley tour,['room']
228,228,[3],0.1473,"recommend, highly, place, day, find, location, rate, rent, drive, bring","Buy your tickets at the Wharf, not the concierge - they only have 1-day passes.",buy ticket wharf concierge day pass,['staff']
229,229,[0],0.1368,"room, floor, view, call, clean, internet, service, drink, high, deal","If you go to Salem, take the Trolley Tour.",go salem take trolley tour,['facility']
230,230,[7],0.1755,"good, recommend, staff, price, place, city, nice, water, visit, side","If you are looking for a few nice dinner restaurants, we loved Legal Seafood , at the Wharf, and Plaza III Kansas City Steakhouse , at Fanueil Hall/South Market,.",look nice dinner restaurant love legal seafood wharf plaza ii kansa city steakhouse fanueil hall south market,['food']
231,231,[2],0.1779,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","Also, if you are going during baseball season, you will have to buy a Red Sox hat, T-shirt, etc.",also go baseball season buy red sox hat shirt etc,['location']
232,232,[6],0.14,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade","Go to a game, too.",go game,['service']
233,233,[2],0.1295,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","However, as I stated earlier, there are ample restaurants nearby from which you can choose.",however state early ample restaurant nearby choose,['location']
234,234,[3],0.1616,"recommend, highly, place, day, find, location, rate, rent, drive, bring",The location is perfect and I highly recommend the spa at the attached LA sports Club.,location perfect highly recommend spa attach laugh lot sport club,['staff']
235,235,[5],0.1525,"stay, resort, mind, suggest, money, car, front, star, noise, choice",I have to comment to anyone who is thinking of going to a Caribbean Resort...YOUR VACATION IS AS GOOD OR BAD AS YOUR EXPECTATION.,comment anyone think go caribbean resort vacation good bad expectation,['room']
236,236,[5],0.15,"stay, resort, mind, suggest, money, car, front, star, noise, choice",If you think you are going to a American/Canadian 4-5 star resort you would be fooling yourself.,think go american canadian star resort would fool,['room']
237,237,[5],0.1507,"stay, resort, mind, suggest, money, car, front, star, noise, choice","If you want Wolfgang Puck, you should stay home to get it.",want wolfgang puck stay home get,['room']
238,238,[4],0.1473,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring","But if you open your mind and realize you are experiencing how others live, you will love it.",open mind realize experience others live love,['value']
239,239,[0],0.1493,"room, floor, view, call, clean, internet, service, drink, high, deal",If you must stay here check out the room first before you hand over your credit card.,must stay check room first hand credit card,['facility']
240,240,[0],0.168,"room, floor, view, call, clean, internet, service, drink, high, deal","The rooms are very clean and are the perfect base while exploring the city, ask for a room at the front of the hotel as you get your own personal little balcony.",room clean perfect base explore city ask room front hotel get personal little balcony,['facility']
241,241,[3],0.1411,"recommend, highly, place, day, find, location, rate, rent, drive, bring",The rooftop terrace offers a nice view of the city at sunset while enjoying a few evening drinks even in february I would definitely recommend this hotel and will have no hesitation in staying here again,rooftop terrace offer nice view city sunset enjoy even drink even february would definitely recommend hotel hesitation stay,['staff']
242,242,[0],0.1577,"room, floor, view, call, clean, internet, service, drink, high, deal","The room was fine, but be forewarned, the neighboring Hilton is building a high-rise time share building right next to the Ilikai , Diamond Head side.",room fine forewarn neighboring hilton building high rise time share build right next ilikai diamond head side,['facility']
243,243,[2],0.1445,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",I hope they update their website to advise of this.,hope update website advise,['location']
244,244,[7],0.1708,"good, recommend, staff, price, place, city, nice, water, visit, side","If you receive this, please note: It is NOT APPLICABLE to Sarentos , roof-top-expensive-incredible views, Restaurant.",receive please note applicable sarentos roof top expensive incredible view restaurant,['food']
245,245,[1],0.15,"walk, make, expect, night, leave, shop, beware, careful, service, line",So if you have trouble with stairs request a lower floor.,trouble stair request low floor,['quality']
246,246,[0],0.1523,"room, floor, view, call, clean, internet, service, drink, high, deal","Dont expect a room with a view, and the hotel is on a fairly busy street, but they do have live jazz nightly.",expect room view hotel fairly busy street live jazz nightly,['facility']
247,247,[5],0.1652,"stay, resort, mind, suggest, money, car, front, star, noise, choice","If youre looking for a great place to stay on the happening Left Bank, this should be your choice - you wont regret it.",look great place stay happen leave bank choice regret,['room']
248,248,[3],0.1473,"recommend, highly, place, day, find, location, rate, rent, drive, bring","If you are not a diver, I would recommend you stay at the Copamarina because it is very nice and peaceful.",diver would recommend stay copamarina nice peaceful,['staff']
249,249,[1],0.1779,"walk, make, expect, night, leave, shop, beware, careful, service, line","I guess the bottom line is that if you are a diver and plan to dive, I would not stay there.",guess bottom line diver plan dive would stay,['quality']
250,250,[7],0.1595,"good, recommend, staff, price, place, city, nice, water, visit, side","However, if you are simply wanting a nice vacation in relaxing area then the Copamarina is a good choice.",however simply want nice vacation relax area copamarina good choice,['food']
251,251,[0],0.1394,"room, floor, view, call, clean, internet, service, drink, high, deal",dont trust the staff here,trust staff,['facility']
252,252,[0],0.1528,"room, floor, view, call, clean, internet, service, drink, high, deal","So dont trust the staff, and be prepared for them to try it on and cause problems.",trust staff prepare try problem,['facility']
253,253,[4],0.1507,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",The hotel is very dated and in need of a LOT of work.,hotel date need lot work,['value']
254,254,[7],0.1888,"good, recommend, staff, price, place, city, nice, water, visit, side","The front desk staff could use a really good lesson on manners, professionalism, and genuine hospitality.",front desk staff could use really good lesson manner professionalism genuine hospitality,['food']
255,255,[5],0.1487,"stay, resort, mind, suggest, money, car, front, star, noise, choice",They could use a little polishing up and professional conversational skills.,could use little polish professional conversational skill,['room']
256,256,[6],0.1652,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",The pool area is nice but the pool itself could use a good scrub down.,pool area nice pool could use good scrub,['service']
257,257,[7],0.1516,"good, recommend, staff, price, place, city, nice, water, visit, side","Could be a real gem since it is an older property/building and could get some of its original character back with some renovating, and better front desk staff.",could real gem since old property building could get original character back renovate well front desk staff,['food']
258,258,[5],0.1507,"stay, resort, mind, suggest, money, car, front, star, noise, choice",I would suggest anything in block 5 and up if you want less noise during those hours.,would suggest anything block want less noise hour,['room']
259,259,[4],0.1626,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",The only seating times available are 6pm or 8pm but if you show up after 9:30pm at any of the restaurants they will just seat you.,seat time available 6 pm 8 pm show 30 pm restaurant seat,['value']
260,260,[7],0.1437,"good, recommend, staff, price, place, city, nice, water, visit, side",Brazilian - I would recommend this.,brazilian would recommend,['food']
261,261,[0],0.2138,"room, floor, view, call, clean, internet, service, drink, high, deal","Things to bring ,aside from the obvious, - Antibacterial hand soap for your room, spray air freshner, an alarm clock ,or just a clock as they do no have them in any of the rooms,, Cortizone ,for heat rashes,, Benadryl ,to stop the itching from heat rash...lol,, face cloths ,we got these one day and never saw them again,.",thing bring aside obvious antibacterial hand soap room spray air freshner alarm clock clock room cortizone heat rash benadryl stop itching heat rash lol face cloth get one day never saw,['facility']
262,262,[4],0.1422,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",Avoid it.,avoid,['value']
263,263,[0],0.1368,"room, floor, view, call, clean, internet, service, drink, high, deal",Brilliant Hotel - would recommend to anyone.,brilliant hotel would recommend anyone,['facility']
264,264,[0],0.1516,"room, floor, view, call, clean, internet, service, drink, high, deal",The room is big for HK standards and there is a small kitchenette if you need to heat up food in the microwave or cook a meal.,room big hk standard small kitchenette need heat food microwave cook meal,['facility']
265,265,[0],0.1368,"room, floor, view, call, clean, internet, service, drink, high, deal",Take rooms on side or rear.,take room side rear,['facility']
266,266,[6],0.1363,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",For the money I recommend this because of it position and has all the things needed.,money recommend position thing need,['service']
267,267,[5],0.1537,"stay, resort, mind, suggest, money, car, front, star, noise, choice",Note pedestrian area of the Rambla means in the evening taxis cannot approach and a walk may be required.,note pedestrian area rambla mean even taxi can not approach walk may require,['room']
268,268,[1],0.1394,"walk, make, expect, night, leave, shop, beware, careful, service, line",You have to confirm your reservation,confirm reservation,['quality']
269,269,[0],0.15,"room, floor, view, call, clean, internet, service, drink, high, deal","So if you make a reservation through internet, you have to call them and confirm it",make reservation internet call confirm,['facility']
270,270,[0],0.1513,"room, floor, view, call, clean, internet, service, drink, high, deal","Quiet for the most part, the room was adequate but could use some minor remodeling.",quiet part room adequate could use minor remodeling,['facility']
271,271,[0],0.161,"room, floor, view, call, clean, internet, service, drink, high, deal",Room serviceRoom service needs management.,room serviceroom service need management,['facility']
272,272,[6],0.151,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade","The room itself was small, but no smaller than other large city hotels- if you want room to walk, Id suggest taking the F down to Ferry Plaza.",room small small large city hotel want room walk would suggest take female ferry plaza,['service']
273,273,[0],0.1467,"room, floor, view, call, clean, internet, service, drink, high, deal","Our first room had a small kitchenette, the second did not -- here, a micro wave and a small fridge would have been welcome.",first room small kitchenette second micro wave small fridge would welcome,['facility']
274,274,[5],0.1439,"stay, resort, mind, suggest, money, car, front, star, noise, choice","We would recommend the Laurel enthusiastically to our friends, unless they need to be downtown.",would recommend laurel enthusiastically friends unless need downtown,['room']
275,275,[1],0.1557,"walk, make, expect, night, leave, shop, beware, careful, service, line","So, make sure you pay attention",make sure pay attention,['quality']
276,276,[6],0.1394,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",The only thing that would be better would be Oceanview.,thing would better would oceanview,['service']
277,277,[1],0.152,"walk, make, expect, night, leave, shop, beware, careful, service, line",If you go over by the to the left of the resort by the shops there is less sea weed.,go leave resort shop less sea weed,['quality']
278,278,[1],0.15,"walk, make, expect, night, leave, shop, beware, careful, service, line",If you do want to do any shopping like I said before to the left of the resort there is about 10 little shops.,want shopping like say leave resort 10 little shop,['quality']
279,279,[1],0.1422,"walk, make, expect, night, leave, shop, beware, careful, service, line",If you dont want anything just say no and they leave you alone.,want anything say leave alone,['quality']
280,280,[2],0.1896,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",If they offer you something that is expensive just bargain with them and start walking out of the store and they will bargain with you.,offer something expensive bargain start walk store bargain,['location']
281,281,[4],0.1487,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",If you have any questions just e-mail me: Jillanson@excite.com,question mail jillanson excite com,['value']
282,282,[2],0.1417,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",make sure you have plenty of $1 bills or 50/100 peso notes the really do deserve their tips.,make sure plenty bill 50 100 peso note really deserve tip,['location']
283,283,[7],0.1587,"good, recommend, staff, price, place, city, nice, water, visit, side","Should you be driving: Reasonably well located, near to the outer peripheral road , just watch out which exit you take from Place de Nation...,.",drive reasonably locate near out peripheral road watch exit take place de nation,['food']
284,284,[3],0.1643,"recommend, highly, place, day, find, location, rate, rent, drive, bring","Parking at the park house Picpus recommended , 10min walk away from hotel.",park park house picpus recommend 10 min walk away hotel,['staff']
285,285,[2],0.1447,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","The hotel itself was interesting since it is round, the staff were polite but the hotel itself is understaffed.",hotel interest since round staff polite hotel understaffed,['location']
286,286,[5],0.1439,"stay, resort, mind, suggest, money, car, front, star, noise, choice",The price was ok but after staying- I would expect that the rates should be lowered.,price ok stay would expect rate lower,['room']
287,287,[7],0.1468,"good, recommend, staff, price, place, city, nice, water, visit, side","Dont let the price fool you- its better to spend a few extra bucks for cleanliness, a walkable neighborhood without someone asking you for money or cigarettes or whatever they may be looking for.",let price fool well spend extra buck cleanliness walkable neighborhood without someone ask money cigarette whatever may look,['food']
288,288,[1],0.1525,"walk, make, expect, night, leave, shop, beware, careful, service, line","I was here many times before and have seen all kind of rooms , make sure, you get an renovated one with Heavenly Bed,.",many time see kind room make sure get renovate one heavenly bed,['quality']
289,289,[3],0.1394,"recommend, highly, place, day, find, location, rate, rent, drive, bring","So if you want nightlife, you need to drive to it.",want nightlife need drive,['staff']
290,290,[3],0.15,"recommend, highly, place, day, find, location, rate, rent, drive, bring","Business oriented, and highly recommeded for that purpose",business orient highly recommeded purpose,['staff']
291,291,[3],0.153,"recommend, highly, place, day, find, location, rate, rent, drive, bring","Abit impersonal though, so if you are looking for a place remembering your name Conrad isnt the first place to look, on most important points it clearly delivers.",abit impersonal though look place remember name conrad first place look important point clearly delivers,['staff']
292,292,[1],0.1368,"walk, make, expect, night, leave, shop, beware, careful, service, line",But if you are on holiday there are sum negatives.,holiday sum negative,['quality']
293,293,[5],0.1699,"stay, resort, mind, suggest, money, car, front, star, noise, choice",If you are a drinker you will feel like you died and went to heaven; one can drink the day away with many choices and the $76.00 will feel like a bargain.,drinker feel like die go heaven one drink day away many choice 76 00 feel like bargain,['room']
294,294,[5],0.172,"stay, resort, mind, suggest, money, car, front, star, noise, choice","Take our advice, stay at home, save your money if this is where you plan to vacation.",take advice stay home save money plan vacation,['room']
295,295,[1],0.1425,"walk, make, expect, night, leave, shop, beware, careful, service, line",I would not recommend this if you want a good nights sleep.,would recommend want good night sleep,['quality']
296,296,[3],0.146,"recommend, highly, place, day, find, location, rate, rent, drive, bring","For meat lovers, I would highly recommend the Brasilian.",meat lover would highly recommend brasilian,['staff']
297,297,[0],0.1445,"room, floor, view, call, clean, internet, service, drink, high, deal",I think so - just keep an open mind and remember that the mentality is very different from what you may be used to.,think keep open mind remember mentality different may use,['facility']
298,298,[7],0.152,"good, recommend, staff, price, place, city, nice, water, visit, side",Much better option is to venture a little into the side streets.,much good option venture little side street,['food']
